INDIVIDUALS	STRATA
fas03_red605	Fasciatus
fas03_red602	Fasciatus
fas03_red603	Fasciatus
fas03_red601	Fasciatus
fas03_red598	Fasciatus
fas03_red599	Fasciatus
fas02_red654	Fasciatus
fas07_red668	Fasciatus
fas03_red606	Fasciatus
fas02_red645	Fasciatus
fas03_red621	Fasciatus
fas07_red690	Fasciatus
fas07_red677	Fasciatus
fas03_red612	Fasciatus
fas07_red678	Fasciatus
fas02_red646	Fasciatus
fas02_red657	Fasciatus
fas02_red635	Fasciatus
fas03_red607	Fasciatus
fas05_red390	Fasciatus
fas07_red688	Fasciatus
fas07_red689	Fasciatus
fas07_red670	Fasciatus
fas02_red663	Fasciatus
fas02_red641	Fasciatus
fas05_red414	Fasciatus
fas05_red386	Fasciatus
fas07_red685	Fasciatus
fas06_red435	Fasciatus
fas02_red633	Fasciatus
fas02_red634	Fasciatus
fas05_red406	Fasciatus
fas02_red651	Fasciatus
fas02_red640	Fasciatus
fas06_red442	Fasciatus
fas06_red448	Fasciatus
fas03_red628	Fasciatus
fas02_red649	Fasciatus
fas06_red445	Fasciatus
fas06_red432	Fasciatus
fas07_red672	Fasciatus
fas06_red434	Fasciatus
fas02_red658	Fasciatus
fas05_red388	Fasciatus
fas05_red413	Fasciatus
fas07_red665	Fasciatus
fas07_red693	Fasciatus
fas02_red653	Fasciatus
fas02_red637	Fasciatus
fas06_red438	Fasciatus
fas05_red420	Fasciatus
fas05_red412	Fasciatus
fas03_red615	Fasciatus
fas05_red418	Fasciatus
fas02_red639	Fasciatus
fas05_red394	Fasciatus
fas03_red616	Fasciatus
fas05_red404	Fasciatus
fas07_red695	Fasciatus
fas07_red667	Fasciatus
fas06_red423	Fasciatus
fas05_red398	Fasciatus
fas02_red655	Fasciatus
fas06_red431	Fasciatus
fas02_red652	Fasciatus
fas02_red644	Fasciatus
fas05_red407	Fasciatus
fas02_red662	Fasciatus
fas05_red387	Fasciatus
fas05_red400	Fasciatus
fas05_red389	Fasciatus
fas02_red664	Fasciatus
fas07_red694	Fasciatus
fas07_red680	Fasciatus
fas02_red648	Fasciatus
fas06_red453	Fasciatus
fas06_red422	Fasciatus
fas03_red614	Fasciatus
fas05_red408	Fasciatus
fas06_red421	Fasciatus
fas07_red687	Fasciatus
fas06_red440	Fasciatus
fas07_red676	Fasciatus
fas05_red415	Fasciatus
fas05_red410	Fasciatus
fas02_red643	Fasciatus
fas07_red682	Fasciatus
fas07_red679	Fasciatus
fas05_red391	Fasciatus
fas05_red399	Fasciatus
fas06_red446	Fasciatus
fas06_red451	Fasciatus
fas05_red393	Fasciatus
fas06_red428	Fasciatus
fas06_red443	Fasciatus
fas07_red691	Fasciatus
fas05_red397	Fasciatus
fas02_red631	Fasciatus
fas06_red455	Fasciatus
fas06_red433	Fasciatus
fas06_red452	Fasciatus
fas06_red436	Fasciatus
men17_red001	Deep
men17_red002	Deep
men17_red003	Deep
men17_red004	Deep
men17_red005	Deep
men17_red006	Deep
men17_red007	Deep
men17_red008	Deep
men17_red009	Deep
men17_red010	Deep
men17_red011	Deep
men17_red012	Deep
men17_red013	Deep
men17_red013b	Deep
men17_red014	Deep
men17_red014b	Deep
men17_red014g	Deep
men17_red015	Deep
men17_red015b	Deep
men17_red015c	Deep
men17_red015d	Deep
men17_red015g	Deep
men17_red016	Deep
men17_red016b	Deep
men17_red017	Deep
men17_red017j	Deep
men17_red018	Deep
men17_red018g	Deep
men17_red019	Deep
men17_red020	Deep
men17_red021	Deep
men17_red022	Deep
men17_red023	Deep
men17_red024	Deep
men17_red025	Deep
men17_red026	Deep
men17_red027	Deep
men17_red028	Deep
men17_red030	Deep
men17_red031	Deep
men18_red743	Deep
men18_red744	Deep
men18_red745	Deep
men18_red749	Deep
men18_red750	Deep
men18_red751	Deep
men18_red752	Deep
men18_red753	Deep
men18_red754	Deep
men18_red755	Deep
men18_red783	Deep
men18_red786	Deep
men18_red834	Deep
men18_red835	Deep
men18_red838	Deep
men18_red839	Deep
men18_red840	Deep
men18_red841	Deep
men18_red842	Deep
men18_red843	Deep
men18_red844	Deep
men18_red846	Deep
men18_red847	Deep
men18_red848	Deep
men18_red849	Deep
men18_red850	Deep
men18_red851	Deep
men18_red876	Deep
men18_red878	Deep
men21_red562	Deep
men21_red563	Deep
men21_red564	Deep
men21_red568	Deep
men21_red570	Deep
men21_red571	Deep
men21_red572	Deep
men21_red574	Deep
men21_red575	Deep
men21_red578	Deep
men21_red580	Deep
men21_red581	Deep
men21_red582	Deep
men21_red585	Deep
men21_red589	Deep
men21_red592	Deep
men21_red593	Deep
men21_red595	Deep
men24_red526	Deep
men24_red529	Deep
men24_red530	Deep
men24_red532	Deep
men24_red533	Deep
men24_red534	Deep
men24_red535	Deep
men24_red545	Deep
men24_red547	Deep
men24_red550	Deep
men24_red552	Deep
men24_red553	Deep
men24_red555	Deep
men24_red559	Deep
men24_red560	Deep
men20_red860	Shallow
men20_red758	Shallow
men19_red747	Shallow
men19_red872	Shallow
men19_red781	Shallow
men19_red775	Shallow
men20_red861	Shallow
men20_red868	Shallow
men19_red787	Shallow
men20_red864	Shallow
men19_red776	Shallow
men20_red773	Shallow
men20_red856	Shallow
men19_red774	Shallow
men19_red777	Shallow
men20_red873	Shallow
men16_red053	Shallow
men20_red763	Shallow
men19_red746	Shallow
men16_red076	Shallow
men16_red068	Shallow
men16_red074	Shallow
men16_red067	Shallow
men20_red862	Shallow
men16_red071	Shallow
men16_red066	Shallow
men16_red065	Shallow
men20_red762	Shallow
men16_red049	Shallow
men16_red055	Shallow
men16_red056	Shallow
men16_red063	Shallow
men16_red062	Shallow
men16_red064	Shallow
men20_red859	Shallow
men20_red769	Shallow
men16_red073	Shallow
men16_red069	Shallow
men16_red070	Shallow
men16_red075	Shallow
men16_red051	Shallow
men16_red059	Shallow
men16_red054	Shallow
men19_red771	Shallow
men16_red052	Shallow
men16_red080	Shallow
men19_red778	Shallow
men16_red050	Shallow
men19_red780	Shallow
men19_red871	Shallow
men16_red078	Shallow
men16_red047	Shallow
men16_red072	Shallow
men16_red057	Shallow
men16_red061	Shallow
men16_red041	Shallow
men19_red779	Shallow
men16_red033	Shallow
men19_red879	Shallow
men16_red060	Shallow
men20_red857	Shallow
men16_red079	Shallow
men16_red034	Shallow
men16_red058	Shallow
men20_red852	Shallow
men19_red836	Shallow
men16_red048	Shallow
men16_red040	Shallow
men16_red039	Shallow
men20_red767	Shallow
men16_red038	Shallow
men16_red045	Shallow
men16_red044	Shallow
men16_red046	Shallow
men16_red043	Shallow
men16_red037	Shallow
men20_red782	Shallow
men19_red875	Shallow
men16_red035	Shallow
men16_red032	Shallow
men16_red042	Shallow
men19_red837	Shallow
men19_red874	Shallow
men19_red784	Shallow
men20_red761	Shallow
men16_red036	Shallow
men19_red748	Shallow
men23_red516	Shallow
men23_red513	Shallow
men23_red506	Shallow
men23_red505	Shallow
men20_red863	Shallow
men23_red508	Shallow
men23_red525	Shallow
men23_red495	Shallow
men23_red500	Shallow
men23_red523	Shallow
men23_red507	Shallow
men23_red501	Shallow
men23_red517	Shallow
men23_red522	Shallow
men23_red511	Shallow
